Date,Open,High,Low,Close,Adj Close,Volume
2026-01-13,470.67,470.67,470.67,470.67,0.0,0
2026-01-14,459.38,459.38,459.38,459.38,0.0,0
2026-01-15,456.66,456.66,456.66,456.66,0.0,0
2026-01-16,459.86,459.86,459.86,459.86,0.0,0
2026-01-20,454.52,454.52,454.52,454.52,0.0,0
2026-01-21,444.11,444.11,444.11,444.11,0.0,0
2026-01-22,451.14,451.14,451.14,451.14,0.0,0
2026-01-23,465.95,465.95,465.95,465.95,0.0,0
2026-01-26,470.28,470.28,470.28,470.28,0.0,0
2026-01-27,480.58,480.58,480.58,480.58,0.0,0
2026-01-28,481.63,481.63,481.63,481.63,0.0,0
2026-01-29,433.5,433.5,433.5,433.5,0.0,0
2026-01-30,430.29,430.29,430.29,430.29,0.0,0
2026-02-02,423.37,423.37,423.37,423.37,0.0,0
2026-02-03,411.21,411.21,411.21,411.21,0.0,0
2026-02-04,414.19,414.19,414.19,414.19,0.0,0
2026-02-05,393.67,393.67,393.67,393.67,0.0,0
2026-02-06,401.14,401.14,401.14,401.14,0.0,0
2026-02-09,413.6,413.6,413.6,413.6,0.0,0
2026-02-10,413.27,413.27,413.27,413.27,0.0,0
2026-02-11,404.37,404.37,404.37,404.37,0.0,0
2026-02-12,401.84,401.84,401.84,401.84,0.0,0
2026-02-13,401.32,401.32,401.32,401.32,0.0,0
2026-02-17,396.86,396.86,396.86,396.86,0.0,0
2026-02-18,399.6,399.6,399.6,399.6,0.0,0
2026-02-19,398.46,398.46,398.46,398.46,0.0,0
2026-02-20,397.23,397.23,397.23,397.23,0.0,0
2026-02-23,384.47,384.47,384.47,384.47,0.0,0
2026-02-24,389.0,389.0,389.0,389.0,0.0,0
2026-02-25,400.6,400.6,400.6,400.6,0.0,0
2026-02-26,401.72,401.72,401.72,401.72,0.0,0
2026-02-27,392.74,392.74,392.74,392.74,0.0,0
2026-03-02,398.55,398.55,398.55,398.55,0.0,0
2026-03-03,403.93,403.93,403.93,403.93,0.0,0
2026-03-04,405.2,405.2,405.2,405.2,0.0,0
2026-03-05,410.68,410.68,410.68,410.68,0.0,0
2026-03-06,408.96,408.96,408.96,408.96,0.0,0
2026-03-09,409.41,409.41,409.41,409.41,0.0,0
2026-03-10,405.76,405.76,405.76,405.76,0.0,0
