Date,Close
2019-04-15,8.75
2019-04-16,8.77
2019-04-17,8.95
2019-04-18,8.83
2019-04-22,8.7
2019-04-23,8.62
2019-04-24,8.52
2019-04-25,8.38
2019-04-26,8.14
2019-04-29,8.19
2019-04-30,8.33
2019-05-01,8.29
2019-05-02,8.28
2019-05-03,8.21
2019-05-06,8.01
2019-05-07,7.94
2019-05-08,7.84
2019-05-09,7.68
2019-05-10,7.78
2019-05-13,7.66
2019-05-14,7.65
2019-05-15,7.54
2019-05-16,7.67
2019-05-17,7.55
2019-05-20,7.43
2019-05-21,7.46
2019-05-22,7.39
2019-05-23,7.17
2019-05-24,7.16
2019-05-28,7.1
2019-05-29,6.88
2019-05-30,6.84
2019-05-31,6.78
2019-06-03,6.67
2019-06-04,6.91
2019-06-05,6.96
2019-06-06,6.76
2019-06-07,6.77
2019-06-10,6.8
2019-06-11,6.96
2019-06-12,6.89
2019-06-13,6.9
2019-06-14,6.8
2019-06-17,6.88
2019-06-18,6.93
2019-06-19,7.23
2019-06-20,7.2
2019-06-21,7.18
2019-06-24,7.2
2019-06-25,7.1
2019-06-26,7.33
2019-06-27,7.53
2019-06-28,7.71
2019-07-01,7.82
2019-07-02,7.62
2019-07-03,7.75
2019-07-05,8.19
2019-07-08,7.61
2019-07-09,7.34
2019-07-10,7.46
2019-07-11,7.39
2019-07-12,7.59
2019-07-15,7.74
2019-07-16,7.95
2019-07-17,8.03
2019-07-18,7.91
2019-07-19,7.7
2019-07-22,7.81
2019-07-23,7.91
2019-07-24,7.76
2019-07-25,7.95
2019-07-26,7.93
2019-07-29,7.93
2019-07-30,7.68
2019-07-31,7.89
2019-08-01,7.77
2019-08-02,7.77
2019-08-05,7.74
2019-08-06,7.64
2019-08-07,7.4
2019-08-08,7.53
2019-08-09,7.57
2019-08-12,7.17
2019-08-13,6.97
2019-08-14,6.85
2019-08-15,6.61
2019-08-16,6.51
2019-08-19,7.03
2019-08-20,6.95
2019-08-21,7.05
2019-08-22,7.18
2019-08-23,7.09
2019-08-26,7.1
2019-08-27,7.16
2019-08-28,7.07
2019-08-29,7.21
2019-08-30,7.25
2019-09-03,7.27
2019-09-04,7.46
2019-09-05,7.74
2019-09-06,7.82
2019-09-09,8.01
2019-09-10,8.25
2019-09-11,8.2
2019-09-12,8.15
2019-09-13,8.48
2019-09-16,8.29
2019-09-17,8.06
2019-09-18,8.08
2019-09-19,8.13
2019-09-20,8.09
2019-09-23,7.78
2019-09-24,7.75
2019-09-25,7.43
2019-09-26,7.48
2019-09-27,7.54
2019-09-30,7.53
2019-10-01,7.44
2019-10-02,7.25
2019-10-03,7.14
2019-10-04,7.12
2019-10-07,7.04
2019-10-08,6.94
2019-10-09,6.93
2019-10-10,7.06
2019-10-11,7.42
2019-10-14,7.54
2019-10-15,7.6
2019-10-16,7.9
2019-10-17,7.96
2019-10-18,7.94
2019-10-21,8.15
2019-10-22,8.04
2019-10-23,7.96
2019-10-24,8.01
2019-10-25,7.89
2019-10-28,8.02
2019-10-29,8.05
2019-10-30,7.5
2019-10-31,7.33
2019-11-01,7.33
2019-11-04,7.63
2019-11-05,7.7
2019-11-06,7.68
2019-11-07,7.8
2019-11-08,7.65
2019-11-11,7.53
2019-11-12,7.62
2019-11-13,7.36
2019-11-14,7.29
2019-11-15,7.3
2019-11-18,7.26
2019-11-19,7.36
2019-11-20,7.27
2019-11-21,7.37
2019-11-22,7.37
2019-11-25,7.36
2019-11-26,7.31
2019-11-27,7.35
2019-11-29,7.26
2019-12-02,7.23
2019-12-03,7.07
2019-12-04,7.06
2019-12-05,7.2
2019-12-06,7.24
2019-12-09,7.25
2019-12-10,7.19
2019-12-11,7.28
2019-12-12,7.43
2019-12-13,7.57
2019-12-16,7.69
2019-12-17,7.73
2019-12-18,7.8
2019-12-19,7.82
2019-12-20,7.79
2019-12-23,7.7
2019-12-24,7.64
2019-12-26,7.61
2019-12-27,7.66
2019-12-30,7.74
2019-12-31,7.7
2020-01-02,8.11
2020-01-03,8.08
2020-01-06,7.89
2020-01-07,8.17
2020-01-08,8.52
2020-01-09,8.62
2020-01-10,8.54
2020-01-13,8.43
2020-01-14,8.5
2020-01-15,8.51
2020-01-16,8.49
2020-01-17,8.46
2020-01-21,8.36
2020-01-22,8.34
2020-01-23,8.45
2020-01-24,8.67
2020-01-27,8.5
2020-01-28,8.6
2020-01-29,8.75
2020-01-30,9.06
2020-01-31,9.3
2020-02-03,9.0
2020-02-04,9.04
2020-02-05,9.12
2020-02-06,10.17
2020-02-07,10.39
2020-02-10,10.23
2020-02-11,10.43
2020-02-12,10.86
2020-02-13,10.99
2020-02-14,11.09
2020-02-18,10.73
2020-02-19,10.59
2020-02-20,10.7
2020-02-21,10.58
2020-02-24,9.68
2020-02-25,9.64
2020-02-26,9.58
2020-02-27,9.13
2020-02-28,8.66
2020-03-02,8.46
2020-03-03,8.58
2020-03-04,8.15
2020-03-05,7.83
